flow,compartment,unit,amount
"Solids, Inorganic",water,kilogram,1.4657120730186195
Magnesite,soil,kilogram,1.425452205019628
Particles (> PM10),air,kilogram,1.4121785430953133
From Pasture/meadow,Land use / Land transformation,square meter,1.3960069388159917
Chromium,Resources / Resources from ground,kilogram,1.3311576140020216
"Metamorphous rock, graphite containing",resources / in ground,kilogram,1.3083633757737683
Calcium,Emissions / Emissions to water,kilogram,1.2818147679488165
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.277546605653598
Thorium-228,water,kilo Becquerel,1.245574278540424
Calcium,Emissions / Emissions to water,kilogram,1.2427291972521357
Nitrate,Emissions / Emissions to water,kilogram,1.2169743867103693
Sand,soil,kilogram,1.154667441974929
Radium-224,water,kilo Becquerel,1.09755943904663
Total Organic Carbon,water,kilogram,1.0543484210895435
Lead-210,Emissions / Emissions to air,kilo Becquerel,1.002497275201771
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.9945998836265145
strontium,Emissions / Emissions to water,kilogram,0.9869930572358923
Inland Water Bodies,land use,square meter-year,0.9422186095027046
From Unspecified,Land use / Land transformation,square meter,0.9418829417925266
titanium,Emissions / Emissions to water,kilogram,0.9334318959773032
Thorium-228,water,kilo Becquerel,0.872113396664867
Polonium-210,water,kilo Becquerel,0.8688286929441501
Manganese,Resources / Resources from ground,kilogram,0.8653186828911191
Magnesium,natural resource,kilogram,0.8572328428336808
"Suspended Solids, Unspecified",water,kilogram,0.8457573845785913
Fluoride Ion,Emissions / Emissions to water,kilogram,0.7937795550718092
Zinc,Resources / Resources from ground,kilogram,0.7853270558764478
Total Organic Carbon,water,kilogram,0.7649450656644821
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.7294100227999029
Methane (fossil),Emissions / Emissions to air,kilogram,0.7194497365726004
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,0.7180192242138853
Nickel,Resources / Resources from ground,kilogram,0.7175730914626778
Xenon-138,air,kilo Becquerel,0.7159066076470114
Phosphorus,Resources / Resources from ground,kilogram,0.705580853994171
Magnesium,Emissions / Emissions to water,kilogram,0.6928660569030163
"Organic carbon, placed in landfill",resources / in ground,kilogram,0.6913073339794524
lake water,Resources / Resources from water,cubic meter,0.6641045993043297
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.5873980099783017
"DOC, Dissolved Organic Carbon",water,kilogram,0.5852864977262326
Silicon,Emissions / Emissions to soil,kilogram,0.5816403775228891
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.5814372912818633
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.5410193709769336
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.5334016698390257
Xenon-131m,air,kilo Becquerel,0.5317192670186073
Sulfate Ion,water,kilogram,0.5304320581163784
Agriculture,Land use / Land occupation,square meter-year,0.5258420272268809
copper,Emissions / Emissions to water,kilogram,0.5132714361062668
Construction Site,Land use / Land occupation,square meter-year,0.5108985475752983
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.4898809875117027
Titanium,Resources / Resources from ground,kilogram,0.487235031063367
To Mineral Extraction Site,Land use / Land transformation,square meter,0.47148782515780724
Tin atom,Resources / Resources from ground,kilogram,0.47145097341212633
Ethyl Acetate,Emissions / Emissions to air,kilogram,0.4688066002880084
Methyl Ethyl Ketone,Emissions / Emissions to air,kilogram,0.4688064874392792
Aluminium,Emissions / Emissions to air,kilogram,0.4646409049287518
Radium-226,Emissions / Emissions to air,kilo Becquerel,0.4447416910143487
To Industrial Area,Land use / Land transformation,square meter,0.4425726331771981
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.44070426637011484
Potassium-40,water,kilo Becquerel,0.4387189453422201
"DOC, Dissolved Organic Carbon",water,kilogram,0.4315347974965714
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.4304810745100478
Particles (PM10),Emissions / Emissions to air,kilogram,0.42904300477593604
Total Organic Carbon,water,kilogram,0.3927167018946218
Chloride,Emissions / Emissions to soil,kilogram,0.38705381111929915
From Mineral Extraction Site,Land use / Land transformation,square meter,0.38366239397930196
Methane (biogenic),Emissions / Emissions to air,kilogram,0.3719249350660292
Uranium alpha,emissions to water / lake,kilo Becquerel,0.3699603047667357
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.35182288382217514
Iron,Emissions / Emissions to soil,kilogram,0.3510737885503062
