flow,compartment,unit,amount
Polonium-210,water,kilo Becquerel,5.029361499109618e-07
Xenon-133m,air,kilo Becquerel,4.927826503926898e-07
Lithium,Resources / Resources from ground,kilogram,4.896572798455477e-07
"Clay, bentonite",resources / in ground,kilogram,4.770250321272471e-07
To Dump Site,Land use / Land transformation,square meter,4.704925988382991e-07
Particles (> PM10),air,kilogram,4.540823366113268e-07
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,4.520666520441591e-07
Xenon-137,air,kilo Becquerel,4.4538151432782184e-07
Lead,Resources / Resources from ground,kilogram,4.3528008063914167e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,4.115400513420544e-07
Ammonia,Emissions / Emissions to air,kilogram,4.0581395650244746e-07
Molybdenum,Resources / Resources from ground,kilogram,3.9902274832270404e-07
Chemical Oxygen Demand,water,kilogram,3.974075658996764e-07
Chloride,Emissions / Emissions to soil,kilogram,3.897938385406989e-07
Zinc,Emissions / Emissions to water,kilogram,3.7632877259700457e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,3.597350172717931e-07
Sulfur,Resources / Resources from ground,kilogram,3.594218965325663e-07
Potassium,water,kilogram,3.501387585581926e-07
To Arable,Land use / Land transformation,square meter,3.4009554493728803e-07
Fluorine,natural resource,kilogram,3.270258477241621e-07
Fluoride Ion,Emissions / Emissions to water,kilogram,3.229530771810475e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,3.2053552289606826e-07
Uranium-235,Emissions / Emissions to water,kilo Becquerel,3.202624477648742e-07
Particles (> PM10),air,kilogram,3.1968891121534986e-07
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,3.1845315254484774e-07
"Solids, Inorganic",water,kilogram,3.1653712710590046e-07
fluorane,Emissions / Emissions to air,kilogram,3.1239296704656566e-07
Potassium-40,air,kilo Becquerel,3.0848061328695864e-07
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,3.0249797002915314e-07
Titanium,Resources / Resources from ground,kilogram,3.013837348092769e-07
arsenic,Emissions / Emissions to water,kilogram,2.999117733356817e-07
Xenon-138,air,kilo Becquerel,2.896175139293276e-07
Potassium-40,water,kilo Becquerel,2.849498876051781e-07
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,2.8440325255454074e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,2.821954188752001e-07
Magnesium,Emissions / Emissions to water,kilogram,2.7584486843334575e-07
Radium-228,air,kilo Becquerel,2.662330959679632e-07
Xenon-137,air,kilo Becquerel,2.638097202706922e-07
Nitrite,Emissions / Emissions to water,kilogram,2.5305879353042117e-07
tungsten,Emissions / Emissions to water,kilogram,2.523986444786666e-07
Phosphine,Emissions / Emissions to air,kilogram,2.512328876907501e-07
Xylene,Emissions / Emissions to air,kilogram,2.452434396995227e-07
Carbon-14,Emissions / Emissions to air,kilo Becquerel,2.35812000451404e-07
Acetone,Emissions / Emissions to air,kilogram,2.2172250793554664e-07
Sodium,soil,kilogram,2.189466276274532e-07
Methyl Ethyl Ketone,Emissions / Emissions to air,kilogram,2.1105537935175762e-07
Ethyl Acetate,Emissions / Emissions to air,kilogram,2.1049748327534486e-07
Thorium-232,emissions to air / high. pop.,kilo Becquerel,2.0546812290717013e-07
Bromine,Emissions / Emissions to water,kilogram,2.0338100293191975e-07
Carbonate Ion,water,kilogram,2.0271503036562606e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.9887613278389079e-07
Carbon disulfide,Emissions / Emissions to air,kilogram,1.951458845021962e-07
Kaolinite,soil,kilogram,1.9311752088767653e-07
Uranium-234,Emissions / Emissions to water,kilo Becquerel,1.9055281354949233e-07
Potassium,water,kilogram,1.9054511983056194e-07
cadmium,Emissions / Emissions to water,kilogram,1.8845299496616814e-07
molybdenum,Emissions / Emissions to water,kilogram,1.8718232977914992e-07
Sand,soil,kilogram,1.8461751804119155e-07
lead,Emissions / Emissions to water,kilogram,1.8340783861227887e-07
Biological Oxygen Demand,water,kilogram,1.8320459138514242e-07
tin,Emissions / Emissions to water,kilogram,1.830704925096941e-07
"Wood, soft, standing",resources / biotic,cubic meter,1.8105461266371162e-07
antimony,Emissions / Emissions to water,kilogram,1.8069826052407547e-07
barium,Emissions / Emissions to water,kilogram,1.7917144165878583e-07
Sulfate Ion,air,kilogram,1.7571259239545619e-07
To Water Bodies,land use,square meter,1.7258576528214273e-07
Krypton-89,air,kilo Becquerel,1.6641118146405154e-07
Thorium-234,water,kilo Becquerel,1.575370131474777e-07
Protactinium-234,water,kilo Becquerel,1.5750146346880633e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.5510738963074872e-07
Aluminium,Emissions / Emissions to water,kilogram,1.4557183923640377e-07
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,1.4540451757068397e-07
selenium,Emissions / Emissions to water,kilogram,1.451270952597045e-07
Iron,Emissions / Emissions to soil,kilogram,1.4421091654058255e-07
Total Organic Carbon,water,kilogram,1.429574991122555e-07
Agriculture,Land use / Land occupation,square meter-year,1.4189476942685836e-07
Thorium-228,air,kilo Becquerel,1.322234554349338e-07
Silver,Resources / Resources from ground,kilogram,1.2921669652669525e-07
Particles (PM10),Emissions / Emissions to air,kilogram,1.2632319599415291e-07
Argon-41,air,kilo Becquerel,1.2331849843138776e-07
vanadium,Emissions / Emissions to water,kilogram,1.230669202787277e-07
From Seabed,land use,square meter,1.2264333465890475e-07
Shrub Land,Land use / Land occupation,square meter-year,1.189036180548438e-07
"Wood, hard, standing",resources / biotic,cubic meter,1.1843168852048273e-07
Thorium-232,emissions to water / river,kilo Becquerel,1.1731839784106474e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.1660252693260224e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,1.1175280000180218e-07
Sodium sulfate,resources / in ground,kilogram,1.088622116406607e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.0831878382836386e-07
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,1.0749484225309304e-07
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,1.0523810346055703e-07
Nitrogen,air,kilogram,1.0503822918026169e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.0309613133496631e-07
Ethane,Emissions / Emissions to air,kilogram,1.0245552632283434e-07
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,1.000818502724136e-07
Calcium,Emissions / Emissions to soil,kilogram,9.746037252660445e-08
Chemical Oxygen Demand,water,kilogram,9.267255688843018e-08
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,9.096403478136539e-08
Fluoride Ion,Emissions / Emissions to water,kilogram,9.045179322915399e-08
Silver-110,Emissions / Emissions to water,kilo Becquerel,9.017826455483557e-08
Sodium chloride,resources / in water,kilogram,8.694214752871785e-08
chloride,Emissions / Emissions to soil,kilogram,8.52102738315203e-08
From Shrub Land,Land use / Land transformation,square meter,8.27916242065294e-08
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,8.168834362937814e-08
Particles (> PM10),air,kilogram,8.084169402923729e-08
Chromium VI,"emissions to water / groundwater, long-term",kilogram,8.000819132891577e-08
Uranium-234,Emissions / Emissions to air,kilo Becquerel,7.967393649492549e-08
"DOC, Dissolved Organic Carbon",water,kilogram,7.875953109323534e-08
Zinc,Emissions / Emissions to water,kilogram,7.612962589689576e-08
Cyanide,Emissions / Emissions to water,kilogram,7.539771771972798e-08
Carbon,soil,kilogram,7.299983706262065e-08
Scandium,"emissions to water / groundwater, long-term",kilogram,7.295058080661999e-08
Sodium borohydride,Emissions / Emissions to air,kilogram,7.143643175765316e-08
Xenon-131m,air,kilo Becquerel,6.942024112080255e-08
Strontium,Emissions / Emissions to water,kilogram,6.886176857190557e-08
Chlorate ion,Emissions / Emissions to water,kilogram,6.80967019709879e-08
Nitrous Oxide,Emissions / Emissions to air,kilogram,6.493293422649076e-08
Strontium,Emissions / Emissions to water,kilogram,6.45459604925436e-08
Water,Emissions / Emissions to water,cubic meter,6.041991822047405e-08
"Energy, Geothermal, Converted",natural resource,megajoule,6.011394389429595e-08
Cyanide,Emissions / Emissions to water,kilogram,5.914885129832443e-08
Pentane,Emissions / Emissions to air,kilogram,5.8822096215107656e-08
"DOC, Dissolved Organic Carbon",water,kilogram,5.8144820261984866e-08
Barium sulfate,Emissions / Emissions to water,kilogram,5.763143391465398e-08
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,5.61696709424457e-08
Arable,Land use / Land occupation,square meter-year,5.416565242815785e-08
From Arable,Land use / Land transformation,square meter,5.394537807390662e-08
Carbonate Ion,water,kilogram,5.382220653529273e-08
Particles (PM10),Emissions / Emissions to air,kilogram,5.216118434865187e-08
Iodine-129,Emissions / Emissions to air,kilo Becquerel,5.031940304195737e-08
Isopropanol,Emissions / Emissions to air,kilogram,5.0108667459263466e-08
Cesium-137,Emissions / Emissions to water,kilo Becquerel,4.958581489723581e-08
Hydrogen Chloride,Emissions / Emissions to air,kilogram,4.931535831543314e-08
Manganese,Emissions / Emissions to water,kilogram,4.923672948186736e-08
iron,Emissions / Emissions to soil,kilogram,4.867840691506202e-08
Particles (PM10),Emissions / Emissions to air,kilogram,4.8505016178123506e-08
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,4.829976891505491e-08
Antimony,Emissions / Emissions to water,kilogram,4.6723525329515986e-08
Copper,Emissions / Emissions to water,kilogram,4.647000403839043e-08
Methanol,Emissions / Emissions to water,kilogram,4.606565928929682e-08
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,4.5433750777732425e-08
Nitrogen,water,kilogram,4.411047902682068e-08
iron,Emissions / Emissions to air,kilogram,4.4075333566555754e-08
From Dump Site,Land use / Land transformation,square meter,4.3432563741147435e-08
Talc,resources / in ground,kilogram,4.2219491016587575e-08
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,4.200358211549221e-08
Formaldehyde,Emissions / Emissions to air,kilogram,4.1901575052023077e-08
beryllium,Emissions / Emissions to water,kilogram,4.185056114363782e-08
"From Forest, Natural",Land use / Land transformation,square meter,4.094760973848092e-08
Aluminium,Emissions / Emissions to air,kilogram,4.0531589003309755e-08
Zirconium,Resources / Resources from ground,kilogram,4.043197253718589e-08
Ammonia,Emissions / Emissions to air,kilogram,4.042242322835135e-08
Phosphate,Emissions / Emissions to water,kilogram,3.9783227041481244e-08
Nickel,Emissions / Emissions to water,kilogram,3.974796368593605e-08
To Inland Water Bodies,land use,square meter,3.932283079476165e-08
Potassium,air,kilogram,3.8592284506949454e-08
Ozone,air,kilogram,3.749200342829445e-08
Sulfate Ion,air,kilogram,3.732006737003293e-08
Hydrogen,air,kilogram,3.7055109255943083e-08
Boron Trifluoride,air,kilogram,3.684168204526166e-08
Copper,Emissions / Emissions to air,kilogram,3.586001692894895e-08
Hydrogen Chloride,Emissions / Emissions to air,kilogram,3.54260413151152e-08
"Carboxylic Acids, Unspecified",water,kilogram,3.536908224502136e-08
Copper,Emissions / Emissions to water,kilogram,3.529263807574752e-08
Gold,Resources / Resources from ground,kilogram,3.383722970991633e-08
Methyl acrylate,Emissions / Emissions to water,kilogram,3.318025115483108e-08
Thorium-230,Emissions / Emissions to air,kilo Becquerel,3.3093923235150643e-08
Lead,Emissions / Emissions to air,kilogram,3.306107402838301e-08
Butane,Emissions / Emissions to air,kilogram,3.290546038527519e-08
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.23366775036842e-08
Propane,Emissions / Emissions to air,kilogram,3.137395801705976e-08
Phosphorus Trichloride,Emissions / Emissions to air,kilogram,3.084743455902597e-08
Benzene,Emissions / Emissions to air,kilogram,3.072937246712601e-08
Ammonium,Emissions / Emissions to water,kilogram,3.059533035561407e-08
Iron,Emissions / Emissions to water,kilogram,2.905059577594501e-08
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,2.7423036963217173e-08
"To Traffic Area, Road Network",Land use / Land transformation,square meter,2.733008417603491e-08
Nitrous Oxide,Emissions / Emissions to air,kilogram,2.5992075170217467e-08
Nickel,Emissions / Emissions to air,kilogram,2.5420912215425302e-08
Ethanolamine,Emissions / Emissions to air,kilogram,2.454485165028886e-08
Barium,Emissions / Emissions to water,kilogram,2.439331006418582e-08
aluminium,Emissions / Emissions to soil,kilogram,2.4333172867524767e-08
"Oils, Unspecified",Emissions / Emissions to water,kilogram,2.4155833157369865e-08
"Carboxylic Acids, Unspecified",water,kilogram,2.409670521070411e-08
