flow,compartment,unit,amount
From Unspecified,Land use / Land transformation,square meter,5.5583491432985356e-05
chloride,Emissions / Emissions to soil,kilogram,5.520257882026839e-05
Sodium,water,kilogram,5.4345871084480354e-05
Particles (PM10),Emissions / Emissions to air,kilogram,5.39569288936452e-05
Nitrate,Emissions / Emissions to water,kilogram,5.0885086988895916e-05
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,4.798063420174858e-05
Carbon,soil,kilogram,4.7316184074567775e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,4.5554296192379533e-05
lake water,Resources / Resources from water,cubic meter,4.34550988855006e-05
strontium,Emissions / Emissions to water,kilogram,4.324592575266239e-05
Hydrogen,air,kilogram,4.264399573284791e-05
Butane,Emissions / Emissions to air,kilogram,4.2055768674574604e-05
Calcium,Emissions / Emissions to water,kilogram,4.187903009021887e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,4.1731212957574065e-05
Radon-220,air,kilo Becquerel,4.1642547311439454e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,4.1631880739562426e-05
To Arable,Land use / Land transformation,square meter,3.902465087110976e-05
"DOC, Dissolved Organic Carbon",water,kilogram,3.870083908455864e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.79835852065725e-05
zinc,Emissions / Emissions to water,kilogram,3.774589894249383e-05
Xenon-133m,air,kilo Becquerel,3.598210491431993e-05
"Oils, Unspecified",Emissions / Emissions to water,kilogram,3.538788434651841e-05
To Industrial Area,Land use / Land transformation,square meter,3.532066441017427e-05
Barium sulfate,Emissions / Emissions to water,kilogram,3.515972205619462e-05
Hydrogen Chloride,Emissions / Emissions to air,kilogram,3.380835842086542e-05
Strontium,Emissions / Emissions to water,kilogram,3.3479577648980416e-05
Hydrogen,air,kilogram,3.298133497955453e-05
Sodium,soil,kilogram,3.210333311579171e-05
iron,Emissions / Emissions to soil,kilogram,3.154897461738174e-05
Pentane,Emissions / Emissions to air,kilogram,3.152108927391349e-05
Polonium-210,Emissions / Emissions to air,kilo Becquerel,3.125504389728301e-05
Krypton-89,air,kilo Becquerel,3.0040951023658188e-05
Chloride,Emissions / Emissions to water,kilogram,2.7351453210187752e-05
Carbonate Ion,water,kilogram,2.7343112312352576e-05
Strontium,Emissions / Emissions to water,kilogram,2.5588371866648615e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,2.501929755468659e-05
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,2.3875609289110258e-05
Uranium-235,Emissions / Emissions to water,kilo Becquerel,2.3389249494290634e-05
Methane (fossil),Emissions / Emissions to air,kilogram,2.228061820058078e-05
Propane,Emissions / Emissions to air,kilogram,2.1399865626926007e-05
nickel,Emissions / Emissions to water,kilogram,2.0890267993864593e-05
Carbonate Ion,water,kilogram,2.070583071751451e-05
Radium-226,Emissions / Emissions to air,kilo Becquerel,1.980924438675907e-05
boron,Emissions / Emissions to water,kilogram,1.9641517929454655e-05
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,1.8983235711218374e-05
Arable,Land use / Land occupation,square meter-year,1.8851650951986724e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.8816132150957482e-05
"Carboxylic Acids, Unspecified",water,kilogram,1.8385731002216076e-05
Ammonium,Emissions / Emissions to water,kilogram,1.8334799117160703e-05
Bromate,Emissions / Emissions to water,kilogram,1.814415726539748e-05
Lead-210,Emissions / Emissions to air,kilo Becquerel,1.781197609033698e-05
Hexane,Emissions / Emissions to air,kilogram,1.7680421179954252e-05
Ammonia,Emissions / Emissions to air,kilogram,1.7586360578113135e-05
Ammonia,Emissions / Emissions to air,kilogram,1.7540134054738865e-05
Chemical Oxygen Demand,water,kilogram,1.7184964225971887e-05
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,1.711099791915773e-05
Biological Oxygen Demand,water,kilogram,1.7006163465167833e-05
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,1.697737106375668e-05
Ammonium,Emissions / Emissions to water,kilogram,1.599332234620415e-05
aluminium,Emissions / Emissions to soil,kilogram,1.5772057856868226e-05
From Arable,Land use / Land transformation,square meter,1.543447765597995e-05
Pentane,Emissions / Emissions to air,kilogram,1.4940151882515998e-05
Xenon-135,air,kilo Becquerel,1.480907919993987e-05
vanadium,Emissions / Emissions to water,kilogram,1.4766158092606483e-05
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,1.435549362649701e-05
Potassium-40,water,kilo Becquerel,1.4283696191531913e-05
Fluorine,natural resource,kilogram,1.4148077296909949e-05
Nitrous Oxide,Emissions / Emissions to air,kilogram,1.4133809990665986e-05
Silver-110,Emissions / Emissions to water,kilo Becquerel,1.3855148667463835e-05
Uranium-234,Emissions / Emissions to water,kilo Becquerel,1.3772482228321713e-05
