flow,compartment,unit,amount
Thorium-230,water,kilo Becquerel,5.073020813836497e-06
Biological Oxygen Demand,water,kilogram,5.027721923494838e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,4.771160794971735e-06
Ground Water,Resources / Resources from water,cubic meter,4.65418379726643e-06
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,4.458477752556638e-06
Argon-41,air,kilo Becquerel,4.2075752941343315e-06
Magnesium,Emissions / Emissions to water,kilogram,4.172470012771784e-06
From Pasture/meadow,Land use / Land transformation,square meter,4.061325930709451e-06
Waste water,emissions to water / river,kilogram,3.998961080504863e-06
Sulfate Ion,water,kilogram,3.945497910972654e-06
From Seabed,land use,square meter,3.943089055501051e-06
Construction Site,Land use / Land occupation,square meter-year,3.900603328919287e-06
To Dump Site,Land use / Land transformation,square meter,3.853909627025931e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,3.7926386925627777e-06
chloride,Emissions / Emissions to water,kilogram,3.5195624407845383e-06
Sulfate Ion,water,kilogram,3.5021616973089883e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,3.4032389438063586e-06
iron,Emissions / Emissions to water,kilogram,3.263505684015746e-06
Particles (> PM10),air,kilogram,3.1619607928922917e-06
Sulfate Ion,water,kilogram,3.1029466493585216e-06
Potassium,water,kilogram,3.016473688359001e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,2.9872136695858913e-06
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,2.9678988122098087e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,2.7888074078817225e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,2.769353951999233e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,2.768216574118102e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,2.700604308436438e-06
Strontium,Emissions / Emissions to water,kilogram,2.6423123438582854e-06
"DOC, Dissolved Organic Carbon",water,kilogram,2.5472455510185205e-06
Phosphate,Emissions / Emissions to water,kilogram,2.5282020113126216e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.505602731524816e-06
Air,air,kilogram,2.3952416932274414e-06
Barium sulfate,Emissions / Emissions to water,kilogram,2.32527831849716e-06
From Forest,Land use / Land transformation,square meter,2.310428681092836e-06
"Clay, bentonite",resources / in ground,kilogram,2.254799433832991e-06
Carbonate Ion,water,kilogram,2.159098365182046e-06
To Arable,Land use / Land transformation,square meter,2.12649790849095e-06
Particles (PM10),Emissions / Emissions to air,kilogram,2.1129337994548715e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.9504183989108e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,1.944638641454443e-06
Radon-220,air,kilo Becquerel,1.913993688933037e-06
Chloride,Emissions / Emissions to water,kilogram,1.7624333401537349e-06
Biological Oxygen Demand,water,kilogram,1.7620859870796416e-06
Inland Water Bodies,land use,square meter-year,1.6420847052169379e-06
Silicon,Emissions / Emissions to water,kilogram,1.6356373765023705e-06
Fluorspar,soil,kilogram,1.6305014557622932e-06
"To Forest, Intensive",Land use / Land transformation,square meter,1.5437895774884658e-06
Polonium-210,water,kilo Becquerel,1.5374537244301023e-06
Uranium alpha,emissions to water / river,kilo Becquerel,1.5133382824648345e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,1.5064849796427959e-06
Used Air,air,kilogram,1.4934820780582741e-06
Waste water,emissions to water / ocean,kilogram,1.4728783243283642e-06
Hypochlorite,water,kilogram,1.4606710609093448e-06
Chemical Oxygen Demand,water,kilogram,1.4499135137427711e-06
Xenon-138,air,kilo Becquerel,1.4486059698395843e-06
"Carboxylic Acids, Unspecified",water,kilogram,1.4470492019863755e-06
"From Forest, Intensive",Land use / Land transformation,square meter,1.3772090698778428e-06
Ammonium,Emissions / Emissions to water,kilogram,1.2488432780420601e-06
Chemical Oxygen Demand,water,kilogram,1.2447525165818746e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,1.2329231287972451e-06
Water,air,cubic meter,1.2122734319789015e-06
Xenon-131m,air,kilo Becquerel,1.1770554272099576e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.1710743012760937e-06
Iodine-131,Emissions / Emissions to air,kilo Becquerel,1.1666648757653298e-06
Copper,Resources / Resources from ground,kilogram,1.1092411745699492e-06
Potassium chloride,resources / in ground,kilogram,1.079409704820652e-06
Barium,Emissions / Emissions to water,kilogram,9.980043224214002e-07
manganese,Emissions / Emissions to water,kilogram,9.736037073177999e-07
Iron,Emissions / Emissions to water,kilogram,9.54252827518621e-07
Strontium,Emissions / Emissions to water,kilogram,9.41792642304265e-07
"DOC, Dissolved Organic Carbon",water,kilogram,9.113193760820278e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,8.436057517958263e-07
Phosphate,Emissions / Emissions to water,kilogram,8.318474305602203e-07
Calcium,Emissions / Emissions to water,kilogram,8.215927914761031e-07
Nitrate,Emissions / Emissions to water,kilogram,8.117347853066717e-07
Carbonate Ion,water,kilogram,7.661226965960767e-07
Polonium-210,Emissions / Emissions to air,kilo Becquerel,7.246286603479941e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,7.078134411271085e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,7.063261296092789e-07
Krypton-85m,air,kilo Becquerel,6.895130703710436e-07
fluoride,Emissions / Emissions to water,kilogram,6.826075031445944e-07
Hydrogen,air,kilogram,6.61846365651281e-07
"Solids, Inorganic",water,kilogram,6.003971370780559e-07
Zinc,Resources / Resources from ground,kilogram,5.614470902405646e-07
To Industrial Area,Land use / Land transformation,square meter,5.431583106624814e-07
Titanium,Resources / Resources from ground,kilogram,5.307614063510113e-07
