flow,compartment,unit,amount
From Pasture/meadow,Land use / Land transformation,square meter,197.46843707985752
Hypochlorite,water,kilogram,188.37148873370796
Uranium alpha,emissions to water / river,kilo Becquerel,175.66999812755176
Xenon-138,air,kilo Becquerel,173.67505129909347
Aluminium,Emissions / Emissions to air,kilogram,169.2815982088981
Radium-224,water,kilo Becquerel,166.10189846402164
Nitrogen Oxides,Emissions / Emissions to air,kilogram,163.36581391635477
Hydrogen,air,kilogram,162.25181028134674
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,157.41734868267045
Iodine-131,Emissions / Emissions to air,kilo Becquerel,154.99606325400958
Xenon-131m,air,kilo Becquerel,152.52546426379743
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,141.84272199204491
Sulfur Dioxide,Emissions / Emissions to air,kilogram,141.20706371686683
"To Forest, Intensive",Land use / Land transformation,square meter,139.48755502629277
"From Forest, Intensive",Land use / Land transformation,square meter,137.83124977115438
Thorium-228,water,kilo Becquerel,132.2667312243419
Calcium,Emissions / Emissions to water,kilogram,130.35052614475623
Water,air,cubic meter,119.93899812879218
nickel,Emissions / Emissions to water,kilogram,118.09344276185901
Magnesium,Emissions / Emissions to water,kilogram,117.36463551084142
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,114.92383281952684
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,114.61222681662544
copper,Emissions / Emissions to water,kilogram,114.20416486887389
Radium-224,water,kilo Becquerel,107.07917344679575
Waste Heat,water,megajoule,105.99353587100626
Thorium-228,water,kilo Becquerel,84.98329902142872
Krypton-85m,air,kilo Becquerel,84.0267223491857
Chemical Oxygen Demand,water,kilogram,83.37441644024527
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,83.28713418549572
Hydrogen Chloride,Emissions / Emissions to air,kilogram,81.5184141008692
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,80.79220293732759
Construction Site,Land use / Land occupation,square meter-year,78.90163062102111
"Solids, Inorganic",water,kilogram,77.17222671969101
Particles (PM2.5),Emissions / Emissions to air,kilogram,76.78275812731819
Fluorspar,soil,kilogram,74.4137926548657
Carbon disulfide,Emissions / Emissions to air,kilogram,74.35092574157726
Basalt,soil,kilogram,72.4173896717831
From Unspecified,Land use / Land transformation,square meter,72.3512790263165
Polonium-210,water,kilo Becquerel,68.44939278328653
Ammonia,Emissions / Emissions to air,kilogram,68.28365082338048
cobalt,Emissions / Emissions to water,kilogram,59.637656960416166
Boron,Emissions / Emissions to water,kilogram,52.63451282558454
Particles (PM10),Emissions / Emissions to air,kilogram,52.58334104730115
Polonium-210,Emissions / Emissions to air,kilo Becquerel,52.45720275946253
"Organic carbon, placed in landfill",resources / in ground,kilogram,48.880178875777126
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,47.26541728418075
Sodium,water,kilogram,46.941117243370094
Iron,Emissions / Emissions to water,kilogram,46.296691177482366
