flow,compartment,unit,amount
Calcium,Emissions / Emissions to water,kilogram,2.3471107093383856e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,2.283393361186285e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,2.1851841262837667e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.165642366591572e-06
manganese,Emissions / Emissions to water,kilogram,2.030464436532798e-06
"Suspended Solids, Unspecified",water,kilogram,2.021720660233375e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,2.0089203977840418e-06
Krypton-89,air,kilo Becquerel,1.982432767950456e-06
Used Air,air,kilogram,1.8566053360579743e-06
Waste water,emissions to water / ocean,kilogram,1.830992012885386e-06
Radium-224,water,kilo Becquerel,1.7975434521765348e-06
Iodine-131,Emissions / Emissions to air,kilo Becquerel,1.7320061945208784e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.697741981681334e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.6655628326234055e-06
Hypochlorite,water,kilogram,1.569247992258597e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,1.474921675308936e-06
fluoride,Emissions / Emissions to water,kilogram,1.468074655060323e-06
Nitrate,Emissions / Emissions to water,kilogram,1.4570985355505035e-06
Particles (PM10),Emissions / Emissions to air,kilogram,1.4347927172923585e-06
Thorium-228,water,kilo Becquerel,1.428315397967256e-06
Polonium-210,Emissions / Emissions to air,kilo Becquerel,1.4121501076341246e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.411743113889094e-06
Phosphate,Emissions / Emissions to water,kilogram,1.3753027526372619e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.3540037839187037e-06
Calcium,Emissions / Emissions to water,kilogram,1.3153525415247202e-06
Radium-224,water,kilo Becquerel,1.2736745125291852e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.2202016075974295e-06
"Clay, bentonite",resources / in ground,kilogram,1.0982050260948246e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.0830108883968154e-06
Chemical Oxygen Demand,water,kilogram,1.0256669947881016e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,1.0208022253754795e-06
"Solids, Inorganic",water,kilogram,1.0170333111868326e-06
Thorium-228,water,kilo Becquerel,1.0107594951073102e-06
