flow,compartment,unit,amount
Arable,Land use / Land occupation,square meter-year,0.00022144947039000074
"From Forest, Natural",Land use / Land transformation,square meter,0.00021940405046125174
Particles (> PM10),air,kilogram,0.00021657658664459093
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,0.0002030261648865324
From Arable,Land use / Land transformation,square meter,0.00020089382412665215
"DOC, Dissolved Organic Carbon",water,kilogram,0.00019868472464464298
From Forest,Land use / Land transformation,square meter,0.00019057820158551516
Manganese,Resources / Resources from ground,kilogram,0.0001904720382746174
Uranium alpha,emissions to water / lake,kilo Becquerel,0.0001860289113671348
Potassium,air,kilogram,0.00018578613363518954
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00018395711824650046
Zinc,Resources / Resources from ground,kilogram,0.0001774340684323921
Polonium-210,Emissions / Emissions to air,kilo Becquerel,0.00016644579402059752
Krypton-87,air,kilo Becquerel,0.00015963198084171303
Particles (> PM10),air,kilogram,0.00015819491117954315
Radon-220,air,kilo Becquerel,0.0001543253040475634
Potassium-40,water,kilo Becquerel,0.00015353516670109024
"Clay, bentonite",resources / in ground,kilogram,0.0001506929620775114
To Industrial Area,Land use / Land transformation,square meter,0.0001498403818229686
Krypton-88,air,kilo Becquerel,0.00014792683959002735
Magnesium,Emissions / Emissions to water,kilogram,0.00014488511753681094
Sulfate Ion,air,kilogram,0.0001419585946517482
Fluorine,natural resource,kilogram,0.00013953746323310044
Ammonium,Emissions / Emissions to water,kilogram,0.0001368157924880148
Phosphate,Emissions / Emissions to water,kilogram,0.00013659892271425918
Potassium,water,kilogram,0.0001334290626202479
From Unspecified,Land use / Land transformation,square meter,0.0001316814199118049
"From Forest, Extensive",Land use / Land transformation,square meter,0.00013102467752107864
"To Permanent Crops, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.00013047239415089413
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00012906416663437375
"Urban, Discontinuously Built",Land use / Land occupation,square meter-year,0.0001263168497429983
To Forest,Land use / Land transformation,square meter,0.00012497163698770039
Iron,Emissions / Emissions to water,kilogram,0.0001230954613010741
