flow,compartment,unit,amount
Hydrogen Chloride,Emissions / Emissions to air,kilogram,27.46350174875779
Zinc-65,water,kilo Becquerel,27.351627539479345
Aluminium,Emissions / Emissions to air,kilogram,27.204175098277258
"Urban, Discontinuously Built",Land use / Land occupation,square meter-year,26.864042148431835
"Hydrocarbons, Aliphatic, Alkanes, Unspecified",air,kilogram,26.798112189161362
Helium,air,kilogram,26.67841961347161
"From Arable, Fallow",Land use / Land transformation,square meter,26.3116682871387
Phosphate,Emissions / Emissions to water,kilogram,26.276696714451393
Ethylene,Emissions / Emissions to water,kilogram,26.15891810630433
Benzene,Emissions / Emissions to air,kilogram,25.978147219129244
Methanol,Emissions / Emissions to air,kilogram,25.31411803586633
Aluminium,Emissions / Emissions to water,kilogram,24.65433697850623
Potassium,soil,kilogram,24.52648259962199
