flow,compartment,unit,amount
"From Arable, Non-irrigated",Land use / Land transformation,square meter,12538.731045931328
Water,air,cubic meter,11910.286813037515
Barite,resources / in ground,kilogram,11375.606461949994
zinc,Emissions / Emissions to water,kilogram,11344.887278991277
Xenon-138,air,kilo Becquerel,10865.405262499491
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,10613.207206538389
Nickel,Resources / Resources from ground,kilogram,10498.770533163663
Carbon-14,Emissions / Emissions to air,kilo Becquerel,10054.499727435807
Manganese,Resources / Resources from ground,kilogram,9956.95112853109
Methane (fossil),Emissions / Emissions to air,kilogram,9593.922195636136
Hydrogen Chloride,Emissions / Emissions to air,kilogram,8731.19510999385
Argon-41,air,kilo Becquerel,8624.282289461253
"To Traffic Area, Road Network",Land use / Land transformation,square meter,8384.90557867657
lake water,Resources / Resources from water,cubic meter,8135.060962751768
Argon-41,air,kilo Becquerel,7480.285641848529
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,7429.794065445649
Nitrogen Oxides,Emissions / Emissions to air,kilogram,7353.5733549932065
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,7173.259882505497
Chemical Oxygen Demand,water,kilogram,7171.772722332382
boron,Emissions / Emissions to water,kilogram,7143.624800114571
Radium-224,water,kilo Becquerel,6428.410002297062
copper,Emissions / Emissions to water,kilogram,6105.820020384205
Xenon-131m,air,kilo Becquerel,6012.929638236996
Sulfur Dioxide,Emissions / Emissions to air,kilogram,5811.641408423439
"Wood, soft, standing",resources / biotic,cubic meter,5723.062348717303
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,5701.813517108634
Uranium alpha,emissions to water / river,kilo Becquerel,5655.068467057318
Particles (> PM10),air,kilogram,5624.3027006114
"Suspended Solids, Unspecified",water,kilogram,5579.737258685177
Hypochlorite,water,kilogram,5214.572357124554
Thorium-228,water,kilo Becquerel,5118.784568773785
Inland Water Bodies,land use,square meter-year,5049.457851559361
Calcium,Emissions / Emissions to water,kilogram,4976.395723084787
Calcium,Emissions / Emissions to water,kilogram,4793.177460421949
Particles (PM10),Emissions / Emissions to air,kilogram,4698.337385777883
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4428.4785876236765
Waste Heat,water,megajoule,4403.3703276178485
Nitrate,Emissions / Emissions to water,kilogram,4363.043209124873
Krypton-85m,air,kilo Becquerel,4339.975871740376
Radium-224,water,kilo Becquerel,4252.708709375804
Sulfur Dioxide,Emissions / Emissions to air,kilogram,4245.768084160093
Xenon-131m,air,kilo Becquerel,4210.91109213045
Sodium,water,kilogram,3888.859891499483
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,3694.3213547045675
Particles (PM2.5),Emissions / Emissions to air,kilogram,3623.03001021656
Particles (> PM10),air,kilogram,3461.3834451754833
strontium,Emissions / Emissions to water,kilogram,3451.4030351593574
Chloride,Emissions / Emissions to water,kilogram,3404.1083814869885
Thorium-228,water,kilo Becquerel,3379.568838852499
Particles (PM10),Emissions / Emissions to air,kilogram,3357.185463826955
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,3311.640541348596
Potassium chloride,resources / in ground,kilogram,3283.3493245378227
Biological Oxygen Demand,water,kilogram,3172.6488185470757
titanium,Emissions / Emissions to water,kilogram,3169.1916967293664
Total Organic Carbon,water,kilogram,2686.858670948884
Molybdenum,Resources / Resources from ground,kilogram,2681.78450858328
Particles (PM10),Emissions / Emissions to air,kilogram,2666.225549274774
To Dump Site,Land use / Land transformation,square meter,2492.6946145098127
Pentane,Emissions / Emissions to air,kilogram,2461.911991419685
Aluminium,Emissions / Emissions to air,kilogram,2426.4064840986357
Iodine-131,Emissions / Emissions to air,kilo Becquerel,2421.175020850651
"Clay, bentonite",resources / in ground,kilogram,2407.5918665371764
Polonium-210,water,kilo Becquerel,2371.95453075305
nickel,Emissions / Emissions to water,kilogram,2220.581001099784
Magnesium,Emissions / Emissions to water,kilogram,2215.1586123009874
Radon-220,air,kilo Becquerel,2211.65801044272
"Energy, Geothermal, Converted",natural resource,megajoule,2200.382542120269
Nitrate,Emissions / Emissions to water,kilogram,2066.0380376079606
Uranium alpha,emissions to water / lake,kilo Becquerel,2058.0035042451073
Silicon,Emissions / Emissions to water,kilogram,2047.895253092556
Chloride,Emissions / Emissions to soil,kilogram,1965.1199429243306
"Solids, Inorganic",water,kilogram,1946.0535452097909
From Dump Site,Land use / Land transformation,square meter,1914.6691363356979
barium,Emissions / Emissions to water,kilogram,1872.227435784097
To Pasture/meadow,Land use / Land transformation,square meter,1827.4185572727615
Fluorspar,soil,kilogram,1770.2052368909187
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,1758.0649754937504
"DOC, Dissolved Organic Carbon",water,kilogram,1756.2360916287346
Chemical Oxygen Demand,water,kilogram,1704.272294605218
"Solids, Inorganic",water,kilogram,1677.5614072457533
Biological Oxygen Demand,water,kilogram,1668.03092187343
Iron,Emissions / Emissions to soil,kilogram,1662.0256372259414
Total Organic Carbon,water,kilogram,1658.9217389484295
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,1578.629465823148
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1568.5204927656366
To Mineral Extraction Site,Land use / Land transformation,square meter,1495.3558764058964
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1474.54482791902
Sulfate Ion,water,kilogram,1469.5623471667157
Titanium,Resources / Resources from ground,kilogram,1459.487516431978
Xenon-137,air,kilo Becquerel,1415.3677077852178
Krypton-88,air,kilo Becquerel,1388.5665093763193
Soil,soil,kilogram,1379.0403607126725
Construction Site,Land use / Land occupation,square meter-year,1336.7707129360228
Oxygen,air,kilogram,1318.9955440347526
To Arable,Land use / Land transformation,square meter,1271.6981530457788
Particles (> PM10),air,kilogram,1241.9204156448743
Krypton-87,air,kilo Becquerel,1122.2040008469792
Potassium,water,kilogram,1104.7762330876276
Particles (PM2.5),Emissions / Emissions to air,kilogram,1097.495353969395
Agriculture,Land use / Land occupation,square meter-year,1091.4894090997932
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1083.6398518915585
Carbon disulfide,Emissions / Emissions to air,kilogram,1035.4055816524299
Bromine,Emissions / Emissions to water,kilogram,989.1169923777676
Iron,Emissions / Emissions to water,kilogram,944.1145764630709
Uranium-238,Emissions / Emissions to water,kilo Becquerel,935.6970999960059
Hydrogen,air,kilogram,860.6953511347745
Uranium-238,Emissions / Emissions to water,kilo Becquerel,810.4053620611733
Particles (PM2.5),Emissions / Emissions to air,kilogram,791.1950691403023
From Arable,Land use / Land transformation,square meter,783.7289246787425
Arable,Land use / Land occupation,square meter-year,768.0794523990392
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,762.6901430447211
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,749.7075610889642
Total Organic Carbon,water,kilogram,747.3135572871367
Magnesium,Emissions / Emissions to water,kilogram,745.959401854167
Phosphorus,Resources / Resources from ground,kilogram,745.5807998837707
tin,Emissions / Emissions to water,kilogram,744.3952092157725
Boron,Emissions / Emissions to water,kilogram,690.8872763881277
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,690.0087678168078
Polonium-210,Emissions / Emissions to air,kilo Becquerel,656.3085837674411
Biological Oxygen Demand,water,kilogram,650.3449158561922
"Sand, resource correction",resources / in ground,kilogram,643.4733895707444
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,643.2184711498517
cobalt,Emissions / Emissions to water,kilogram,640.8245624008198
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,621.3980362518216
From Mineral Extraction Site,Land use / Land transformation,square meter,607.0130774486574
Methane (fossil),Emissions / Emissions to air,kilogram,583.3228713544212
Nitrogen Dioxide,Emissions / Emissions to air,kilogram,573.482906135824
Sodium chloride,resources / in water,kilogram,528.9486202865544
Krypton-89,air,kilo Becquerel,520.4291940690254
Potassium,water,kilogram,514.8846064696329
lead,Emissions / Emissions to water,kilogram,508.07489020799125
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,464.17271613713046
"DOC, Dissolved Organic Carbon",water,kilogram,459.6517327493945
Shrub Land,Land use / Land occupation,square meter-year,453.0449105202518
Radon-220,air,kilo Becquerel,439.40793964109866
Xenon-133m,air,kilo Becquerel,426.09916737886505
Chemical Oxygen Demand,water,kilogram,416.75842637012613
Methane (biogenic),Emissions / Emissions to air,kilogram,415.27936639222827
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,414.06027751270136
arsenic,Emissions / Emissions to water,kilogram,408.75019847217186
Uranium-235,Emissions / Emissions to water,kilo Becquerel,406.67044453573044
Chromium VI,"emissions to water / groundwater, long-term",kilogram,396.2053571417596
Sodium sulfate,resources / in ground,kilogram,392.2510038046096
From Shrub Land,Land use / Land transformation,square meter,384.00507252490377
Lead-210,Emissions / Emissions to air,kilo Becquerel,371.0407262873859
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,359.23267166112436
vanadium,Emissions / Emissions to water,kilogram,356.9783525481379
Radium-226,Emissions / Emissions to air,kilo Becquerel,355.3005144265312
Carbonate Ion,water,kilogram,346.74200323285845
Carbon-14,Emissions / Emissions to water,kilo Becquerel,326.19107005316135
Ammonia,Emissions / Emissions to air,kilogram,323.2325340058168
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,318.3516591208826
To Water Bodies,land use,square meter,316.14186885016767
Methane (biogenic),Emissions / Emissions to air,kilogram,315.83591887955293
Potassium-40,water,kilo Becquerel,310.74801188762893
Zinc,Emissions / Emissions to air,kilogram,308.3879310296614
Potassium,water,kilogram,307.5404441562448
From Seabed,land use,square meter,305.08193702068985
Uranium-234,Emissions / Emissions to water,kilo Becquerel,303.9020917303825
Calcium,Emissions / Emissions to soil,kilogram,287.8176795697724
antimony,Emissions / Emissions to water,kilogram,279.22086240865514
Ammonium,Emissions / Emissions to water,kilogram,268.34127586703744
Silver-110,Emissions / Emissions to water,kilo Becquerel,266.3130850210585
Oxygen,natural resource,kilogram,-262.2152349508179
"DOC, Dissolved Organic Carbon",water,kilogram,255.2726664480331
Polonium-210,water,kilo Becquerel,252.76973279850262
"From Forest, Natural",Land use / Land transformation,square meter,251.00402616686668
chloride,Emissions / Emissions to soil,kilogram,247.74274044347032
tungsten,Emissions / Emissions to water,kilogram,242.30183240548615
Nitrogen,water,kilogram,239.5548639190335
Hydrogen Chloride,Emissions / Emissions to air,kilogram,228.08951684831584
Water,Emissions / Emissions to water,cubic meter,217.30191402439473
Aluminium,Emissions / Emissions to water,kilogram,216.17861471373868
Ethane,Emissions / Emissions to air,kilogram,214.29129343552563
Carbon,soil,kilogram,210.0491077782627
Carbonate Ion,water,kilogram,209.20718428704947
Thorium-234,water,kilo Becquerel,200.70886954683124
Protactinium-234,water,kilo Becquerel,200.67443508911333
Nitrous Oxide,Emissions / Emissions to air,kilogram,200.59060058149876
To Unspecified,Land use / Land transformation,square meter,196.81635303999832
Pentane,Emissions / Emissions to air,kilogram,194.2708094955679
Lead,Resources / Resources from ground,kilogram,193.25656032848738
cadmium,Emissions / Emissions to water,kilogram,191.5319210420425
Potassium-40,water,kilo Becquerel,187.80163309041032
Cesium-137,Emissions / Emissions to water,kilo Becquerel,186.68282391177044
Tin atom,Resources / Resources from ground,kilogram,183.84883387665334
Barium sulfate,Emissions / Emissions to water,kilogram,183.73405726529293
molybdenum,Emissions / Emissions to water,kilogram,181.75450491465205
Fluoride Ion,Emissions / Emissions to water,kilogram,179.64353649025452
Radium-228,air,kilo Becquerel,178.78761876102865
fluorane,Emissions / Emissions to air,kilogram,178.24151042156785
Sulfide ion,water,kilogram,177.43384983220406
Strontium,Emissions / Emissions to water,kilogram,174.25616292160518
Ruthenium-106,Emissions / Emissions to water,kilo Becquerel,173.45056377038807
"Oils, biogenic",emissions to soil / forestry,kilogram,172.13155021760363
