flow,compartment,unit,amount
"DOC, Dissolved Organic Carbon",water,kilogram,4.645084263012706e-08
Water,Emissions / Emissions to water,cubic meter,4.564594058078156e-08
Carbon disulfide,Emissions / Emissions to air,kilogram,4.481918355426368e-08
chloride,Emissions / Emissions to soil,kilogram,4.24618153755718e-08
Chloride,Emissions / Emissions to water,kilogram,4.2159722040027587e-08
Chromium-51,water,kilo Becquerel,4.187309878932062e-08
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,4.124268374370506e-08
Aluminium,Emissions / Emissions to water,kilogram,4.091225101505202e-08
Titanium,Resources / Resources from ground,kilogram,4.064876470004944e-08
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,3.9399957274517705e-08
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,3.918268344801024e-08
Total Organic Carbon,water,kilogram,3.8539156291922966e-08
Nitrous Oxide,Emissions / Emissions to air,kilogram,3.6416509395406124e-08
Carbon,soil,kilogram,3.6393281624694264e-08
Uranium-238,Emissions / Emissions to air,kilo Becquerel,3.588612398392745e-08
Particles (> PM10),air,kilogram,3.558026368616241e-08
Potassium,water,kilogram,3.521237187070773e-08
"Oils, Unspecified",Emissions / Emissions to water,kilogram,3.2529309244639754e-08
Boron,Emissions / Emissions to water,kilogram,3.246371720982798e-08
Uranium-234,Emissions / Emissions to air,kilo Becquerel,3.238143410692186e-08
Fluoride Ion,Emissions / Emissions to water,kilogram,3.223106299114493e-08
"Solids, Inorganic",water,kilogram,3.143078023140917e-08
Ammonia,Emissions / Emissions to air,kilogram,3.0833514241659056e-08
"Wood, soft, standing",resources / biotic,cubic meter,3.079214484966296e-08
To Inland Water Bodies,land use,square meter,2.917230126503713e-08
Barium sulfate,Emissions / Emissions to water,kilogram,2.90071555864831e-08
Lead,Resources / Resources from ground,kilogram,2.882438712854259e-08
Strontium,Emissions / Emissions to water,kilogram,2.7658436750081634e-08
Particles (> PM10),air,kilogram,2.737579375433089e-08
Butane,Emissions / Emissions to air,kilogram,2.7074748517638042e-08
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,2.707038941739984e-08
hydrogen sulfide,Emissions / Emissions to water,kilogram,2.695677358353363e-08
Sodium,soil,kilogram,2.6603825863363278e-08
