flow,compartment,unit,amount
Methane (biogenic),Emissions / Emissions to air,kilogram,6.572685776245342e-06
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,6.554403788557768e-06
chloride,Emissions / Emissions to soil,kilogram,6.348372130649915e-06
Calcium,Emissions / Emissions to water,kilogram,6.183105679953882e-06
"DOC, Dissolved Organic Carbon",water,kilogram,6.1374774386655254e-06
strontium,Emissions / Emissions to water,kilogram,6.114312105038289e-06
Uranium-235,Emissions / Emissions to water,kilo Becquerel,6.023866495475674e-06
Xenon-133,Emissions / Emissions to air,kilo Becquerel,6.016089413754512e-06
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,5.902113450308125e-06
Sodium,water,kilogram,5.7316757879285015e-06
Hydrogen,air,kilogram,5.716545119324828e-06
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,5.646172692892834e-06
From Shrub Land,Land use / Land transformation,square meter,5.604442210194237e-06
From Seabed,land use,square meter,5.568545022007475e-06
Carbon,soil,kilogram,5.441414309904483e-06
Hydrogen,air,kilogram,5.433666553703513e-06
Manganese,Emissions / Emissions to water,kilogram,5.326510097211003e-06
Polonium-210,Emissions / Emissions to air,kilo Becquerel,5.2429790382194425e-06
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,5.208830266585821e-06
Silver-110,Emissions / Emissions to water,kilo Becquerel,5.1755351746934605e-06
Zinc,Emissions / Emissions to water,kilogram,5.171853613110261e-06
To Industrial Area,Land use / Land transformation,square meter,5.140470176018249e-06
Arsenic,Emissions / Emissions to water,kilogram,5.022530392880451e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,4.727742112591996e-06
tin,Emissions / Emissions to water,kilogram,4.649917739483219e-06
hydrogen sulfide,Emissions / Emissions to water,kilogram,4.641292639887344e-06
Chloride,Emissions / Emissions to soil,kilogram,4.556984157092044e-06
Iron,Emissions / Emissions to water,kilogram,4.556411982576462e-06
Silicon,Emissions / Emissions to water,kilogram,4.483577692274917e-06
Butane,Emissions / Emissions to air,kilogram,4.20028555288819e-06
"Oils, Unspecified",Emissions / Emissions to water,kilogram,3.852906681391335e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,3.788693630705047e-06
Aluminium,Emissions / Emissions to water,kilogram,3.7218732336087415e-06
Sodium,soil,kilogram,3.69664695238002e-06
To Arable,Land use / Land transformation,square meter,3.654675772840427e-06
iron,Emissions / Emissions to soil,kilogram,3.629492061197542e-06
Uranium-234,Emissions / Emissions to water,kilo Becquerel,3.5282761215099823e-06
boron,Emissions / Emissions to water,kilogram,3.5166470557789498e-06
From Dump Site,Land use / Land transformation,square meter,3.457465541310315e-06
Barium sulfate,Emissions / Emissions to water,kilogram,3.4446274703242738e-06
Titanium,Resources / Resources from ground,kilogram,3.300761915074724e-06
