flow,compartment,unit,amount
Used Air,air,kilogram,2.0064471455381423e-06
Waste water,emissions to water / ocean,kilogram,1.9787666373712838e-06
Potassium,water,kilogram,1.9615509698480675e-06
"Wood, soft, standing",resources / biotic,cubic meter,1.913577893169204e-06
titanium,Emissions / Emissions to water,kilogram,1.884311248640316e-06
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,1.8225167349560536e-06
Xenon-133,Emissions / Emissions to air,kilo Becquerel,1.7731211524109178e-06
Nitrogen,air,kilogram,1.7525053682508646e-06
Magnesium,Emissions / Emissions to water,kilogram,1.6886863681559217e-06
Kaolinite,soil,kilogram,1.6701241413585163e-06
Construction Site,Land use / Land occupation,square meter-year,1.6655577254195363e-06
Silver-110,Emissions / Emissions to water,kilo Becquerel,1.6536644401260988e-06
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,1.577768178958846e-06
"Wood, hard, standing",resources / biotic,cubic meter,1.5392743421777182e-06
Chemical Oxygen Demand,water,kilogram,1.5310982752093108e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.514460992349203e-06
barium,Emissions / Emissions to water,kilogram,1.375946435088411e-06
Particles (> PM10),air,kilogram,1.3683123777327163e-06
Potassium,water,kilogram,1.305625484637684e-06
Polonium-210,water,kilo Becquerel,1.2587478473507726e-06
Potassium chloride,resources / in ground,kilogram,1.2060286704897176e-06
Aluminium,Emissions / Emissions to air,kilogram,1.2057226830946144e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,1.1846335394821727e-06
Potassium,water,kilogram,1.1670267731791534e-06
Methane (fossil),Emissions / Emissions to air,kilogram,1.1628120000503167e-06
Zinc,Resources / Resources from ground,kilogram,1.1387037586078568e-06
Uranium-234,Emissions / Emissions to air,kilo Becquerel,1.1378487843131035e-06
Sulfate Ion,water,kilogram,1.1305380579545387e-06
To Dump Site,Land use / Land transformation,square meter,1.1015240175219059e-06
Biological Oxygen Demand,water,kilogram,1.0464666553277896e-06
Chloride,Emissions / Emissions to water,kilogram,9.999609303429229e-07
Iodine-129,Emissions / Emissions to air,kilo Becquerel,9.7141779285852e-07
Biological Oxygen Demand,water,kilogram,9.534038072401685e-07
Molybdenum,Resources / Resources from ground,kilogram,9.513273285604545e-07
Basalt,soil,kilogram,9.218108513793571e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,9.206678445938423e-07
copper,Emissions / Emissions to water,kilogram,9.1169563136712e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,9.001729681913554e-07
To Mineral Extraction Site,Land use / Land transformation,square meter,8.518287116051261e-07
Particles (PM10),Emissions / Emissions to air,kilogram,8.209874261983757e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,8.069999077178591e-07
Titanium,Resources / Resources from ground,kilogram,7.871197022457847e-07
Cesium-137,Emissions / Emissions to water,kilo Becquerel,7.487190505146884e-07
Colemanite,soil,kilogram,7.486250620352766e-07
iron,Emissions / Emissions to air,kilogram,7.460113898968998e-07
Ethane,Emissions / Emissions to air,kilogram,7.325738319728896e-07
To Arable,Land use / Land transformation,square meter,7.098189964984625e-07
cobalt,Emissions / Emissions to water,kilogram,6.96032921913697e-07
Aluminium,Emissions / Emissions to air,kilogram,6.860305876642277e-07
From Seabed,land use,square meter,6.639430721751398e-07
Ammonia,Emissions / Emissions to air,kilogram,6.433098609984924e-07
Sulfate Ion,air,kilogram,6.316729362588699e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,6.302411879601082e-07
"Solids, Inorganic",water,kilogram,6.116167105317135e-07
lake water,Resources / Resources from water,cubic meter,6.052660636020489e-07
Sand,soil,kilogram,5.917222479648654e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,5.798146923942132e-07
Calcium,Emissions / Emissions to soil,kilogram,5.676796317678313e-07
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,5.529462348692742e-07
Potassium,air,kilogram,5.519587002575579e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,5.473249509244727e-07
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,5.350679887179613e-07
To Inland Water Bodies,land use,square meter,5.214807251386702e-07
Potassium-40,air,kilo Becquerel,5.167957365139766e-07
Ozone,air,kilogram,5.1505464854767e-07
Thorium-232,emissions to water / river,kilo Becquerel,5.100467618789211e-07
Ammonia,Emissions / Emissions to air,kilogram,5.070282668832555e-07
chloride,Emissions / Emissions to soil,kilogram,4.967154311575023e-07
Formaldehyde,Emissions / Emissions to air,kilogram,4.824491343877729e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,4.7120900297594355e-07
From Mineral Extraction Site,Land use / Land transformation,square meter,4.653531178300245e-07
Ammonia,Emissions / Emissions to air,kilogram,4.5234850922456616e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,4.515201373112702e-07
"DOC, Dissolved Organic Carbon",water,kilogram,4.362590604954208e-07
Chemical Oxygen Demand,water,kilogram,4.2667665470345884e-07
Carbon,soil,kilogram,4.257547887248137e-07
"DOC, Dissolved Organic Carbon",water,kilogram,4.215718484103463e-07
Biological Oxygen Demand,water,kilogram,4.1958629015075175e-07
From Shrub Land,Land use / Land transformation,square meter,4.188361891617764e-07
Barium sulfate,Emissions / Emissions to water,kilogram,4.1043214328464113e-07
Benzene,Emissions / Emissions to air,kilogram,3.988619459706897e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,3.985891309153021e-07
Strontium,Emissions / Emissions to water,kilogram,3.95475887624089e-07
Chemical Oxygen Demand,water,kilogram,3.918132735779577e-07
Particles (PM10),Emissions / Emissions to air,kilogram,3.867073237403392e-07
Phosphorus,Resources / Resources from ground,kilogram,3.827981150416453e-07
Potassium-40,air,kilo Becquerel,3.679505960223394e-07
Chloride,Emissions / Emissions to soil,kilogram,3.6489139682825504e-07
Thorium-230,Emissions / Emissions to air,kilo Becquerel,3.509155383114355e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.404906023240196e-07
Carbon disulfide,Emissions / Emissions to air,kilogram,3.308676202116327e-07
Strontium,Emissions / Emissions to water,kilogram,3.2666251946006803e-07
Carbonate Ion,water,kilogram,3.2314809806699174e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,3.145151926001332e-07
Chromium-51,water,kilo Becquerel,3.063411296177487e-07
Sodium sulfate,resources / in ground,kilogram,3.04406360885162e-07
Particles (> PM10),air,kilogram,3.0430850782439646e-07
Water,Emissions / Emissions to water,cubic meter,3.00872287221807e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,2.9881971536993555e-07
Sodium,soil,kilogram,2.9338665472858846e-07
iron,Emissions / Emissions to soil,kilogram,2.8392918231482364e-07
Agriculture,Land use / Land occupation,square meter-year,2.8166918376842464e-07
vanadium,Emissions / Emissions to water,kilogram,2.767116852814706e-07
Boron,Emissions / Emissions to water,kilogram,2.6592941353534535e-07
Shrub Land,Land use / Land occupation,square meter-year,2.6286981050571697e-07
Antimony-124,Emissions / Emissions to water,kilo Becquerel,2.604900162726635e-07
Radium-228,air,kilo Becquerel,2.5493712110527393e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,2.508413940717776e-07
Boron,Emissions / Emissions to air,kilogram,2.48586268152108e-07
Ammonium,Emissions / Emissions to water,kilogram,2.3752956637074754e-07
Aluminium,Emissions / Emissions to water,kilogram,2.354827591961341e-07
Calcium,Emissions / Emissions to air,kilogram,2.2305366646442355e-07
Carbonate Ion,water,kilogram,2.2138173287324454e-07
Total Organic Carbon,water,kilogram,2.2035674942560733e-07
"Carboxylic Acids, Unspecified",water,kilogram,2.1724092754229334e-07
Particles (PM10),Emissions / Emissions to air,kilogram,2.1573331951261665e-07
From Arable,Land use / Land transformation,square meter,2.115110088197308e-07
arsenic,Emissions / Emissions to water,kilogram,2.0484117852346148e-07
Sodium chloride,resources / in water,kilogram,2.0358366861225415e-07
"Aerosols, Radioactive, Unspecified",air,kilo Becquerel,2.023309973711526e-07
Chromium VI,"emissions to water / groundwater, long-term",kilogram,2.0183076022541776e-07
Antimony-125,Emissions / Emissions to water,kilo Becquerel,1.904859420860024e-07
Ammonium,Emissions / Emissions to water,kilogram,1.8718037748876133e-07
Propane,Emissions / Emissions to air,kilogram,1.8391804718522856e-07
Radium-228,air,kilo Becquerel,1.7614182128957584e-07
Iron,Emissions / Emissions to soil,kilogram,1.7528126043420437e-07
Talc,resources / in ground,kilogram,1.746568509332989e-07
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,1.7027458255642425e-07
Arable,Land use / Land occupation,square meter-year,1.6542497376986594e-07
molybdenum,Emissions / Emissions to water,kilogram,1.6173578037296503e-07
Carbon-14,Emissions / Emissions to air,kilo Becquerel,1.607003899598826e-07
Manganese,Emissions / Emissions to water,kilogram,1.6045841574123543e-07
fluorane,Emissions / Emissions to air,kilogram,1.585545905571413e-07
Butane,Emissions / Emissions to air,kilogram,1.5298501855068976e-07
Silicon,Emissions / Emissions to air,kilogram,1.5276363772208768e-07
Sulfate Ion,air,kilogram,1.5069241381302984e-07
