flow,compartment,unit,amount
chloride,Emissions / Emissions to soil,kilogram,2.549759686520406e-05
"DOC, Dissolved Organic Carbon",water,kilogram,2.4469800823745942e-05
Uranium-235,Emissions / Emissions to water,kilo Becquerel,2.40027586360242e-05
"DOC, Dissolved Organic Carbon",water,kilogram,2.3855425254887305e-05
Iron,Emissions / Emissions to water,kilogram,2.3311140269620864e-05
Lead-210,Emissions / Emissions to air,kilo Becquerel,2.3239230457737938e-05
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,2.3061231696605947e-05
Polonium-210,water,kilo Becquerel,2.2207113074319452e-05
Carbon,soil,kilogram,2.1853963137085242e-05
Radium-226,Emissions / Emissions to air,kilo Becquerel,2.0290244146921315e-05
Titanium,Resources / Resources from ground,kilogram,2.002361661499614e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.9860213786542325e-05
boron,Emissions / Emissions to water,kilogram,1.9741735155281316e-05
Aluminium,Emissions / Emissions to air,kilogram,1.9738905474721847e-05
Barium sulfate,Emissions / Emissions to water,kilogram,1.9738054959945472e-05
Potassium-40,water,kilo Becquerel,1.874608083138552e-05
Strontium,Emissions / Emissions to water,kilogram,1.874567233001012e-05
Water,Emissions / Emissions to water,cubic meter,1.8215174638497915e-05
"DOC, Dissolved Organic Carbon",water,kilogram,1.7594890575476782e-05
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,1.717786547535727e-05
Sodium,soil,kilogram,1.7174776895187602e-05
"Wood, soft, standing",resources / biotic,cubic meter,1.705751446013217e-05
Ammonia,Emissions / Emissions to air,kilogram,1.6979542251449656e-05
Krypton-89,air,kilo Becquerel,1.653686993601e-05
Waste water/m3,emissions to water / unspecified,cubic meter,1.558945697935489e-05
Carbonate Ion,water,kilogram,1.5344884593800236e-05
Potassium,water,kilogram,1.5063585685950418e-05
From Dump Site,Land use / Land transformation,square meter,1.4985713782242465e-05
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.4699425838203319e-05
iron,Emissions / Emissions to soil,kilogram,1.4576095827799774e-05
copper,Emissions / Emissions to water,kilogram,1.4374989687190595e-05
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.433938884747829e-05
Uranium-234,Emissions / Emissions to water,kilo Becquerel,1.4219267882689866e-05
Nitrogen,air,kilogram,1.3885784032320842e-05
Fluorine,natural resource,kilogram,1.3736963867102473e-05
Ammonia,Emissions / Emissions to air,kilogram,1.3476807266151893e-05
To Water Bodies,land use,square meter,1.3174882510264191e-05
Chromium VI,"emissions to water / groundwater, long-term",kilogram,1.2947114013259034e-05
Zinc,Emissions / Emissions to air,kilogram,1.2923453330982289e-05
Strontium,Emissions / Emissions to water,kilogram,1.2869095464090275e-05
Zinc,Emissions / Emissions to water,kilogram,1.2426029087047933e-05
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,1.2403296795427388e-05
barium,Emissions / Emissions to water,kilogram,1.2345673179553674e-05
To Shrub Land,Land use / Land transformation,square meter,1.215738254221386e-05
"To Traffic Area, Road Network",Land use / Land transformation,square meter,1.1898742993839666e-05
Magnesium,natural resource,kilogram,1.184613006355754e-05
Thorium-234,water,kilo Becquerel,1.1791499663939096e-05
Protactinium-234,water,kilo Becquerel,1.1789789410252626e-05
Butane,Emissions / Emissions to air,kilogram,1.159339256801465e-05
Propane,Emissions / Emissions to air,kilogram,1.1361049114528927e-05
Nitrous Oxide,Emissions / Emissions to air,kilogram,1.1047505662450462e-05
"Solids, Inorganic",water,kilogram,1.0582617342503514e-05
"Carboxylic Acids, Unspecified",water,kilogram,1.0297673075070918e-05
"Wood, hard, standing",resources / biotic,cubic meter,1.0184729734260136e-05
Carbonate Ion,water,kilogram,1.014731970530143e-05
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,9.627661270672595e-06
Sodium sulfate,resources / in ground,kilogram,9.381040188622641e-06
Silver-110,Emissions / Emissions to water,kilo Becquerel,9.061010676759498e-06
"Oils, Unspecified",Emissions / Emissions to water,kilogram,9.02423639321319e-06
Ammonium,Emissions / Emissions to water,kilogram,8.927068890703124e-06
Ammonium,Emissions / Emissions to water,kilogram,8.894691789462322e-06
fluorane,Emissions / Emissions to air,kilogram,8.704809384647925e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,8.68990999944407e-06
Xenon-138,air,kilo Becquerel,8.640146061119736e-06
Iron,Emissions / Emissions to air,kilogram,8.568957838056837e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,8.539413190817796e-06
Carbon-14,Emissions / Emissions to air,kilo Becquerel,8.444999969251032e-06
Molybdenum,Resources / Resources from ground,kilogram,8.123374857114342e-06
"Water, salt, sole",resources / in water,cubic meter,7.961988413477419e-06
Xenon-137,air,kilo Becquerel,7.870223331998244e-06
aluminium,Emissions / Emissions to soil,kilogram,7.284651018010757e-06
Pentane,Emissions / Emissions to air,kilogram,7.1977598084616285e-06
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,7.192991219469423e-06
Sulfide ion,water,kilogram,7.178476371768699e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,7.099325638325508e-06
Barium,Emissions / Emissions to water,kilogram,7.079410136458999e-06
Ammonia,Emissions / Emissions to air,kilogram,6.932404430593228e-06
Nitrous Oxide,Emissions / Emissions to air,kilogram,6.919108724105295e-06
Agriculture,Land use / Land occupation,square meter-year,6.917465417603008e-06
Aluminium,Emissions / Emissions to water,kilogram,6.457015868146286e-06
Arsenic,Emissions / Emissions to water,kilogram,6.4481251276035156e-06
"Carboxylic Acids, Unspecified",water,kilogram,6.429274601124134e-06
Pentane,Emissions / Emissions to air,kilogram,6.34225900236073e-06
From Mineral Extraction Site,Land use / Land transformation,square meter,6.087148803054463e-06
Particles (> PM10),air,kilogram,6.046873745033065e-06
Colemanite,soil,kilogram,6.0196764266698624e-06
Cyanide,Emissions / Emissions to water,kilogram,6.018595620253495e-06
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,5.891172858825323e-06
Magnesium,Emissions / Emissions to soil,kilogram,5.827723412505087e-06
cobalt,Emissions / Emissions to water,kilogram,5.81282805726527e-06
Nitrous Oxide,Emissions / Emissions to air,kilogram,5.737986702619969e-06
Uranium-234,Emissions / Emissions to air,kilo Becquerel,5.577338619330912e-06
"Hydrocarbons, Chlorinated",air,kilogram,5.5221500248765955e-06
Fluoride Ion,Emissions / Emissions to water,kilogram,5.40118423466916e-06
To Inland Water Bodies,land use,square meter,5.329071433195746e-06
Thorium-232,emissions to water / river,kilo Becquerel,5.159849329528989e-06
Hexane,Emissions / Emissions to air,kilogram,5.019235755977723e-06
Sand,soil,kilogram,4.998488658837339e-06
Kaolinite,soil,kilogram,4.654414308361965e-06
Potassium-40,air,kilo Becquerel,4.6167673323536355e-06
Benzene,Emissions / Emissions to air,kilogram,4.568878596544086e-06
Barium(2+),Emissions / Emissions to water,kilogram,4.559033439268526e-06
Iodine-129,Emissions / Emissions to air,kilo Becquerel,4.42980572432386e-06
Chromium,Emissions / Emissions to water,kilogram,4.375872831441626e-06
sulfur,Emissions / Emissions to soil,kilogram,4.3707901799631965e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,4.348118116525155e-06
Ozone,air,kilogram,4.302332747557887e-06
Formaldehyde,Emissions / Emissions to air,kilogram,4.209990893736699e-06
lead,Emissions / Emissions to water,kilogram,4.090745545270664e-06
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,4.081274640051311e-06
Argon-41,air,kilo Becquerel,3.6789551295753328e-06
Potassium,air,kilogram,3.643469960848733e-06
Barium(2+),Emissions / Emissions to soil,kilogram,3.6423250250834335e-06
Particles (PM10),Emissions / Emissions to air,kilogram,3.6281242356848024e-06
"Urban, Discontinuously Built",Land use / Land occupation,square meter-year,3.4833184227962142e-06
Hexane,Emissions / Emissions to air,kilogram,3.398945038059104e-06
iron,Emissions / Emissions to air,kilogram,3.296788625708234e-06
Water,air,cubic meter,3.2914011135573837e-06
Nickel,Emissions / Emissions to water,kilogram,3.247383879648837e-06
To Pasture/meadow,Land use / Land transformation,square meter,3.2228081082162577e-06
Iodide Ion,Emissions / Emissions to water,kilogram,3.1940157683054776e-06
Sulfur,Emissions / Emissions to water,kilogram,3.114366364164328e-06
Propane,Emissions / Emissions to air,kilogram,3.1049902999361103e-06
Aluminium,Emissions / Emissions to air,kilogram,3.0317202560727465e-06
Copper,Emissions / Emissions to water,kilogram,2.9967573454167453e-06
Butane,Emissions / Emissions to air,kilogram,2.882316002292075e-06
"Oils, Unspecified",Emissions / Emissions to water,kilogram,2.834997723595785e-06
Sulfate Ion,air,kilogram,2.826825437914959e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,2.7958718372692396e-06
Sulfate Ion,air,kilogram,2.7915018169715854e-06
Iron,Emissions / Emissions to soil,kilogram,2.752900874046119e-06
