flow,compartment,unit,amount
iron,Emissions / Emissions to soil,kilogram,0.00040705015885566425
Sodium chloride,resources / in water,kilogram,0.0003833563451344862
Water,Emissions / Emissions to water,cubic meter,0.00038189759085247835
Propane,Emissions / Emissions to air,kilogram,0.0003525379117282217
Molybdenum,Resources / Resources from ground,kilogram,0.00035034135322061416
"Carboxylic Acids, Unspecified",water,kilogram,0.00032021979659948305
Potassium-40,water,kilo Becquerel,0.00031929302558397044
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,0.0003144722896800148
To Water Bodies,land use,square meter,0.00029958505287160325
Ethane,Emissions / Emissions to air,kilogram,0.00029860461281626676
Thorium-234,water,kilo Becquerel,0.0002957968654173621
Protactinium-234,water,kilo Becquerel,0.0002957483678512269
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.00029111915390958674
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.0002845379578339393
Ammonia,Emissions / Emissions to air,kilogram,0.00028118217139418524
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,0.0002809343843805973
Ammonium,Emissions / Emissions to water,kilogram,0.0002784752153308369
Lead,Resources / Resources from ground,kilogram,0.00027573793528977436
Barium(2+),Emissions / Emissions to water,kilogram,0.00026871640582847896
Polonium-210,water,kilo Becquerel,0.0002615434142452408
Hexane,Emissions / Emissions to air,kilogram,0.00025279243854915115
barium,Emissions / Emissions to water,kilogram,0.0002481211766342496
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,0.0002442614601751855
Potassium,water,kilogram,0.0002347073006253843
Phosphate,Emissions / Emissions to water,kilogram,0.00022835291541180148
Barium,Emissions / Emissions to water,kilogram,0.00021990447471486926
Silver-110,Emissions / Emissions to water,kilo Becquerel,0.00021940595077338845
"Carboxylic Acids, Unspecified",water,kilogram,0.00021780701091294262
Particles (PM10),Emissions / Emissions to air,kilogram,0.00021661908340345077
Shrub Land,Land use / Land occupation,square meter-year,0.00020967861300264212
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.00020627561123998892
Copper,Emissions / Emissions to water,kilogram,0.00020495400436848127
aluminium,Emissions / Emissions to soil,kilogram,0.00020331678384362511
Particles (> PM10),air,kilogram,0.00019427276851919823
Potassium-40,air,kilo Becquerel,0.000187238700881394
Nitrogen,air,kilogram,0.00018264909913957145
"Wood, hard, standing",resources / biotic,cubic meter,0.00017890569258880983
"DOC, Dissolved Organic Carbon",water,kilogram,0.0001781697968239939
cobalt,Emissions / Emissions to water,kilogram,0.00017752656234255385
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,0.00017325364863430762
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.00017286276119145576
From Mineral Extraction Site,Land use / Land transformation,square meter,0.00017250353432896593
Colemanite,soil,kilogram,0.00016765420655261222
"Energy, Geothermal, Converted",natural resource,megajoule,0.00016520766491367618
Magnesium,Emissions / Emissions to soil,kilogram,0.00016265346744079526
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.00015726292759061825
"Nitrogen, organic bound","emissions to water / groundwater, long-term",kilogram,0.00015636425339869166
Particles (> PM10),air,kilogram,0.00015148991930030785
Silicon,Emissions / Emissions to air,kilogram,0.00014409102348042062
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.00014221375485880163
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.00014078893494024288
Acetic Acid,Emissions / Emissions to air,kilogram,0.0001378954007812075
From Dump Site,Land use / Land transformation,square meter,0.00013143385253418203
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,0.0001308480683151975
lead,Emissions / Emissions to water,kilogram,0.00012979559326820657
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.00012905719064676714
Benzene,Emissions / Emissions to water,kilogram,0.00012534508617651182
Pentane,Emissions / Emissions to air,kilogram,0.00012474993208964433
Cumene,Emissions / Emissions to water,kilogram,0.00012363095395476035
sulfur,Emissions / Emissions to soil,kilogram,0.00012199006932875967
Boron,Emissions / Emissions to water,kilogram,0.0001183400825363319
Carbon disulfide,Emissions / Emissions to air,kilogram,0.0001168587744475134
Xenon-138,air,kilo Becquerel,0.00011437929995202854
Carbon,soil,kilogram,0.0001134909085910431
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.00011076361799307494
To Pasture/meadow,Land use / Land transformation,square meter,0.00010889086516017044
Helium,air,kilogram,0.00010860038164924692
Magnesium,natural resource,kilogram,0.00010767500202021736
Iodine-129,Emissions / Emissions to air,kilo Becquerel,0.00010680960317378155
Nickel,Emissions / Emissions to water,kilogram,0.00010551670508826467
Xenon-137,air,kilo Becquerel,0.00010418696961974957
Barium(2+),Emissions / Emissions to soil,kilogram,0.00010165838710484301
"1,2-dichloroethane",Emissions / Emissions to water,kilogram,0.0001000480133899122
Iodide Ion,Emissions / Emissions to water,kilogram,9.913398308916765e-05
tin,Emissions / Emissions to water,kilogram,9.763070312167794e-05
ammonium,Emissions / Emissions to water,kilogram,9.594024581016834e-05
Aluminium,Emissions / Emissions to air,kilogram,9.584998591641861e-05
"Water, salt, sole",resources / in water,cubic meter,9.497159823743228e-05
Sand,soil,kilogram,9.265953327328266e-05
Iron,Emissions / Emissions to soil,kilogram,9.193525928960653e-05
Particles (PM10),Emissions / Emissions to air,kilogram,9.089394596099823e-05
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,9.070582337885312e-05
Benzene,Emissions / Emissions to air,kilogram,8.993591699240433e-05
Arsenic,Emissions / Emissions to water,kilogram,8.663428098188874e-05
Aluminium,Emissions / Emissions to water,kilogram,8.388097608569441e-05
"To Traffic Area, Rail Network",Land use / Land transformation,square meter,8.315089887543936e-05
iron,Emissions / Emissions to air,kilogram,8.259313056944184e-05
"To Traffic Area, Road Network",Land use / Land transformation,square meter,7.849095248485396e-05
vanadium,Emissions / Emissions to water,kilogram,7.728155004338987e-05
"Hydrocarbons, Chlorinated",air,kilogram,7.719820707885659e-05
Nitrous Oxide,Emissions / Emissions to air,kilogram,7.683717300535915e-05
Potassium,air,kilogram,7.612497074609126e-05
Aluminium,Emissions / Emissions to air,kilogram,7.595248119902075e-05
To Unspecified,Land use / Land transformation,square meter,7.542986480137908e-05
Propane,Emissions / Emissions to air,kilogram,7.362410293102792e-05
Sulfur,Resources / Resources from ground,kilogram,7.230072650184052e-05
Kaolinite,soil,kilogram,7.122295875915891e-05
Potassium,soil,kilogram,7.118595945693875e-05
Hexane,Emissions / Emissions to air,kilogram,7.072091308950558e-05
