flow,compartment,unit,amount
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.00023398793750432226
Particles (PM10),Emissions / Emissions to air,kilogram,0.00023356220552877806
Ethane,Emissions / Emissions to air,kilogram,0.00023160409500225872
Radium-226,Emissions / Emissions to air,kilo Becquerel,0.00022825177244242416
Particles (> PM10),air,kilogram,0.0002136297183524718
Phosphorus,Emissions / Emissions to water,kilogram,0.00021079882815952476
Propylene,Emissions / Emissions to air,kilogram,0.00020742165525061132
From Forest,Land use / Land transformation,square meter,0.00020501037573415507
Fluorspar,soil,kilogram,0.00020169398901713826
Phosphate,Emissions / Emissions to water,kilogram,0.00020012277612416229
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.00019530288396794507
Sodium,water,kilogram,0.00019288808715371776
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.00019212900182684147
Uranium-234,Emissions / Emissions to air,kilo Becquerel,0.00019045925687159008
Thorium-230,Emissions / Emissions to air,kilo Becquerel,0.00018627805619094633
Formic Acid,Emissions / Emissions to air,kilogram,0.0001837328542818608
"DOC, Dissolved Organic Carbon",water,kilogram,0.00018262350337175907
Propane,Emissions / Emissions to air,kilogram,0.0001762389703940802
manganese,Emissions / Emissions to water,kilogram,0.00016948075835986195
fluoride,Emissions / Emissions to water,kilogram,0.00016900351167908797
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,0.00016648754802487585
Formaldehyde,Emissions / Emissions to air,kilogram,0.00016597523352427973
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.00016314958080298233
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00016290571267596357
Polonium-210,Emissions / Emissions to air,kilo Becquerel,0.00015779991510112988
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00015756805913689476
Uranium alpha,emissions to water / lake,kilo Becquerel,0.00015735564375766214
To Forest,Land use / Land transformation,square meter,0.0001566993305673591
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.00014160767468198636
Manganese,Resources / Resources from ground,kilogram,0.00013944710069896998
Lead-210,Emissions / Emissions to air,kilo Becquerel,0.00013638358570634547
To Arable,Land use / Land transformation,square meter,0.00013463398665465912
Magnesium,Emissions / Emissions to water,kilogram,0.00012629713011839394
Shrub Land,Land use / Land occupation,square meter-year,0.00012398099299023536
Metazachlor,Emissions / Emissions to soil,kilogram,0.0001233792932262443
"Oils, biogenic",emissions to soil / industrial,kilogram,0.00011960070847708995
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00011939784851914906
Xenon-137,air,kilo Becquerel,0.00011593159851248504
Krypton-88,air,kilo Becquerel,0.00011457768948880768
lake water,Resources / Resources from water,cubic meter,0.00010957195079428922
Chemical Oxygen Demand,water,kilogram,0.00010667629726483535
Acetone,Emissions / Emissions to air,kilogram,0.0001060060756014674
To Industrial Area,Land use / Land transformation,square meter,0.0001041642740201725
Nitrate,Emissions / Emissions to water,kilogram,0.00010303495196985859
Acetaldehyde,Emissions / Emissions to air,kilogram,0.00010117926259779517
"Organic carbon, placed in landfill",resources / in ground,kilogram,0.00010079920121901464
From Unspecified,Land use / Land transformation,square meter,9.941535984163339e-05
Biological Oxygen Demand,water,kilogram,9.934447975409462e-05
"Solids, Inorganic",water,kilogram,9.718191789866501e-05
Krypton-87,air,kilo Becquerel,9.278878729635369e-05
