flow,compartment,unit,amount
Iodine-131,Emissions / Emissions to air,kilo Becquerel,3.087821527722936e-05
Particles (> PM10),air,kilogram,3.018852284012757e-05
Magnesium,Emissions / Emissions to water,kilogram,2.9981525028738543e-05
Sodium,water,kilogram,2.9962306605848358e-05
Inland Water Bodies,land use,square meter-year,2.9871946837508367e-05
"Clay, bentonite",resources / in ground,kilogram,2.9239438792594466e-05
Sulfate Ion,water,kilogram,2.793411648297371e-05
To Arable,Land use / Land transformation,square meter,2.7665055067353164e-05
From Forest,Land use / Land transformation,square meter,2.4602061889355432e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.450432854737213e-05
Krypton-85m,air,kilo Becquerel,2.419013305371557e-05
Nickel,Resources / Resources from ground,kilogram,2.3150662040992777e-05
Magnesium,Emissions / Emissions to water,kilogram,2.131745451579305e-05
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,2.0921143855892996e-05
Potassium,water,kilogram,2.071301706826105e-05
Water,air,cubic meter,2.0427063974775807e-05
Nitrate,Emissions / Emissions to water,kilogram,2.0113268265276372e-05
Manganese,Resources / Resources from ground,kilogram,1.9385206654921343e-05
Ammonia,Emissions / Emissions to air,kilogram,1.8921563292809146e-05
Biological Oxygen Demand,water,kilogram,1.8644293362046386e-05
manganese,Emissions / Emissions to water,kilogram,1.7658696189408256e-05
Nitrate,Emissions / Emissions to water,kilogram,1.6991258081408214e-05
Chemical Oxygen Demand,water,kilogram,1.6725921745373997e-05
From Unspecified,Land use / Land transformation,square meter,1.6359108310160862e-05
Zinc,Resources / Resources from ground,kilogram,1.6158940971543946e-05
Potassium,water,kilogram,1.52952743328218e-05
Ethane,Emissions / Emissions to air,kilogram,1.501667779165696e-05
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,1.4920420309749254e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,1.476648169487931e-05
"Solids, Inorganic",water,kilogram,1.4695596723366524e-05
Arable,Land use / Land occupation,square meter-year,1.4635744606811906e-05
Biological Oxygen Demand,water,kilogram,1.4324121559448502e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,1.4293387530765385e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.3878132540318073e-05
To Dump Site,Land use / Land transformation,square meter,1.2934644761263093e-05
To Industrial Area,Land use / Land transformation,square meter,1.2871842228613268e-05
Fluorspar,soil,kilogram,1.2578527890955516e-05
Hydrogen Chloride,Emissions / Emissions to air,kilogram,1.2348599554785113e-05
From Seabed,land use,square meter,1.2303956867718528e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,1.1731276909858814e-05
From Arable,Land use / Land transformation,square meter,1.1672096328965488e-05
Calcium,Emissions / Emissions to soil,kilogram,1.1352544228396609e-05
Methane (fossil),Emissions / Emissions to air,kilogram,1.1174238866232097e-05
Phosphate,Emissions / Emissions to water,kilogram,1.0867598101293772e-05
Polonium-210,Emissions / Emissions to air,kilo Becquerel,1.0825728348750004e-05
To Mineral Extraction Site,Land use / Land transformation,square meter,1.0422263984375854e-05
Particles (PM10),Emissions / Emissions to air,kilogram,1.0057265518790625e-05
chloride,Emissions / Emissions to soil,kilogram,9.93321493741216e-06
Radon-220,air,kilo Becquerel,9.8934073871549e-06
fluoride,Emissions / Emissions to water,kilogram,9.653678738136367e-06
Phosphorus,Resources / Resources from ground,kilogram,9.643072932804194e-06
Chemical Oxygen Demand,water,kilogram,8.730187817185293e-06
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,8.674319417167456e-06
To Forest,Land use / Land transformation,square meter,8.651397633848071e-06
Carbon,soil,kilogram,8.51403847600755e-06
"DOC, Dissolved Organic Carbon",water,kilogram,8.211788913233699e-06
Tin atom,Resources / Resources from ground,kilogram,8.189717297688844e-06
Krypton-88,air,kilo Becquerel,8.17114159193762e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,7.780334976771915e-06
Barium sulfate,Emissions / Emissions to water,kilogram,7.386573776014921e-06
From Shrub Land,Land use / Land transformation,square meter,7.191517478735237e-06
Krypton-87,air,kilo Becquerel,7.17779624423605e-06
Iron,Emissions / Emissions to water,kilogram,7.0371174506863494e-06
Strontium,Emissions / Emissions to water,kilogram,7.016541191624051e-06
