flow,compartment,unit,amount
Total Organic Carbon,water,kilogram,0.016003624476204202
Hydrogen,air,kilogram,0.015946780350027924
Sulfate Ion,air,kilogram,0.015489692256695858
From Dump Site,Land use / Land transformation,square meter,0.0152738622436986
Radon-220,air,kilo Becquerel,0.015170369194995403
cobalt,Emissions / Emissions to water,kilogram,0.015112225170580109
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.014824692034338453
Lead-210,Emissions / Emissions to air,kilo Becquerel,0.014558891820524814
Magnesium,Emissions / Emissions to water,kilogram,0.014532598857747598
Aluminium,Emissions / Emissions to air,kilogram,0.013992494083483579
Total Organic Carbon,water,kilogram,0.013989046057336004
Chromium,Emissions / Emissions to air,kilogram,0.013818728597714706
Sodium,water,kilogram,0.013501751168970805
copper,Emissions / Emissions to water,kilogram,0.012945058725063702
Chloride,Emissions / Emissions to soil,kilogram,0.012874449790796938
Polonium-210,water,kilo Becquerel,0.012482321389394807
"Wood, soft, standing",resources / biotic,cubic meter,0.012324459346290475
Iron,Emissions / Emissions to water,kilogram,0.011672911094467898
barium,Emissions / Emissions to water,kilogram,0.0116528565559193
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,0.011120615957669912
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.011101331719082841
titanium,Emissions / Emissions to water,kilogram,0.01086190616252391
To Pasture/meadow,Land use / Land transformation,square meter,0.010860129271875617
Molybdenum,Resources / Resources from ground,kilogram,0.01040977470904475
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.010212396058482162
Nitrate,Emissions / Emissions to water,kilogram,0.010121385712812337
Krypton-89,air,kilo Becquerel,0.009688882780052099
Total Organic Carbon,water,kilogram,0.009618451698108184
Chemical Oxygen Demand,water,kilogram,0.00960293327403031
Particles (PM10),Emissions / Emissions to air,kilogram,0.009436193268135022
Biological Oxygen Demand,water,kilogram,0.009401311534808983
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.00874488521258772
Fluorspar,soil,kilogram,0.008699290229042407
Zinc,Resources / Resources from ground,kilogram,0.008617621410779142
"DOC, Dissolved Organic Carbon",water,kilogram,0.008343752721987665
Sulfate Ion,water,kilogram,0.00815172557869734
Particles (> PM10),air,kilogram,0.008145788119766077
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.007721277066203666
Xenon-133m,air,kilo Becquerel,0.007715162417396867
Particles (PM10),Emissions / Emissions to air,kilogram,0.007683879464927872
Xenon-135,air,kilo Becquerel,0.007671743275911036
Radon-220,air,kilo Becquerel,0.007519206343829032
From Shrub Land,Land use / Land transformation,square meter,0.007514060094841461
Methane (biogenic),Emissions / Emissions to air,kilogram,0.007458939008447499
Radium-226,Emissions / Emissions to air,kilo Becquerel,0.007332829614681215
To Arable,Land use / Land transformation,square meter,0.007291274705449202
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,0.0072057791884704465
Ammonia,Emissions / Emissions to air,kilogram,0.006739913999753911
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.006481937027638236
Magnesium,Emissions / Emissions to water,kilogram,0.006276700562361814
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,0.005968880442186078
Methane (biogenic),Emissions / Emissions to air,kilogram,0.005892904824237589
Agriculture,Land use / Land occupation,square meter-year,0.005809667991219241
Potassium,water,kilogram,0.005766174664921779
Uranium-235,Emissions / Emissions to water,kilo Becquerel,0.005608494805470621
Biological Oxygen Demand,water,kilogram,0.00555722684848948
lake water,Resources / Resources from water,cubic meter,0.005509178873629084
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00510007364897251
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,0.005081862466613225
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.004873134149205316
Sulfide ion,water,kilogram,0.004567891863438886
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.004534993098038253
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,0.004510264760914617
To Shrub Land,Land use / Land transformation,square meter,0.004444654755821414
Silver-110,Emissions / Emissions to water,kilo Becquerel,0.00434220933517918
Potassium,water,kilogram,0.00433416255589096
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.004301543012065043
Arable,Land use / Land occupation,square meter-year,0.004189689255625978
